title,rating,category_name
It's Only the Himalayas,2,travel_2
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,4,travel_2
See America: A Celebration of Our National Parks & Treasured Sites,3,travel_2
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,2,travel_2
Under the Tuscan Sun,3,travel_2
A Summer In Europe,2,travel_2
The Great Railway Bazaar,1,travel_2
A Year in Provence (Provence #1),4,travel_2
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),1,travel_2
Neither Here nor There: Travels in Europe,3,travel_2
"1,000 Places to See Before You Die",5,travel_2
Sharp Objects,4,mystery_3
"In a Dark, Dark Wood",1,mystery_3
The Past Never Ends,4,mystery_3
A Murder in Time,1,mystery_3
The Murder of Roger Ackroyd (Hercule Poirot #4),4,mystery_3
The Last Mile (Amos Decker #2),2,mystery_3
That Darkness (Gardiner and Renner #1),1,mystery_3
Tastes Like Fear (DI Marnie Rome #3),1,mystery_3
A Time of Torment (Charlie Parker #14),5,mystery_3
A Study in Scarlet (Sherlock Holmes #1),2,mystery_3
Poisonous (Max Revere Novels #3),3,mystery_3
Murder at the 42nd Street Library (Raymond Ambler #1),4,mystery_3
Most Wanted,3,mystery_3
Hide Away (Eve Duncan #20),1,mystery_3
Boar Island (Anna Pigeon #19),3,mystery_3
The Widow,2,mystery_3
Playing with Fire,3,mystery_3
What Happened on Beale Street (Secrets of the South Mysteries #2),5,mystery_3
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5,mystery_3
Delivering the Truth (Quaker Midwife Mystery #1),4,mystery_3
The Mysterious Affair at Styles (Hercule Poirot #1),4,mystery_3
In the Woods (Dublin Murder Squad #1),2,mystery_3
The Silkworm (Cormoran Strike #2),5,mystery_3
The Exiled,3,mystery_3
The Cuckoo's Calling (Cormoran Strike #1),1,mystery_3
Extreme Prey (Lucas Davenport #26),3,mystery_3
Career of Evil (Cormoran Strike #3),2,mystery_3
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),4,mystery_3
The Girl You Lost,5,mystery_3
The Girl In The Ice (DCI Erika Foster #1),3,mystery_3
Blood Defense (Samantha Brinkman #1),3,mystery_3
1st to Die (Women's Murder Club #1),1,mystery_3
Tipping the Velvet,1,historical-fiction_4
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,3,historical-fiction_4
A Flight of Arrows (The Pathfinders #2),5,historical-fiction_4
The House by the Lake,1,historical-fiction_4
Mrs. Houdini,5,historical-fiction_4
The Marriage of Opposites,4,historical-fiction_4
Glory over Everything: Beyond The Kitchen House,3,historical-fiction_4
"Love, Lies and Spies",2,historical-fiction_4
A Paris Apartment,4,historical-fiction_4
Lilac Girls,2,historical-fiction_4
The Constant Princess (The Tudor Court #1),3,historical-fiction_4
The Invention of Wings,1,historical-fiction_4
World Without End (The Pillars of the Earth #2),4,historical-fiction_4
The Passion of Dolssa,5,historical-fiction_4
Girl With a Pearl Earring,1,historical-fiction_4
Voyager (Outlander #3),5,historical-fiction_4
The Red Tent,5,historical-fiction_4
The Last Painting of Sara de Vos,2,historical-fiction_4
The Guernsey Literary and Potato Peel Pie Society,1,historical-fiction_4
Girl in the Blue Coat,2,historical-fiction_4
Between Shades of Gray,5,historical-fiction_4
While You Were Mine,5,historical-fiction_4
The Secret Healer,3,historical-fiction_4
Starlark,3,historical-fiction_4
Lost Among the Living,4,historical-fiction_4
A Spy's Devotion (The Regency Spies of London #1),5,historical-fiction_4
